STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TMAX,TMIN,WSF2
AQW00061705,-14.33056,-170.71361,3.7,2019-08-01,0.0,302.0,270.0,82.0
CQC00914855,15.11667,145.71667,65.5,2019-08-01,0.0,317.0,267.0,45.0
FMW00040308,9.48333,138.08333,13.4,2019-08-01,147.0,303.0,248.0,72.0
FMW00040504,6.9667,158.2167,36.6,2019-08-01,160.0,311.0,241.0,31.0
FMW00040505,7.46666,151.85,1.5,2019-08-01,0.0,307.0,257.0,46.0
GQW00041415,13.48333,144.8,77.4,2019-08-01,0.0,322.0,256.0,76.0
RMW00040604,8.73333,167.73333,2.1,2019-08-01,163.0,300.0,256.0,58.0
RMW00040710,7.06497,171.27203,3.0,2019-08-01,41.0,296.0,257.0,36.0
RQW00011641,18.43261,-66.01065,3.0,2019-08-01,0.0,311.0,244.0,98.0
USC00035189,35.63333,-91.16667,72.8,2019-08-01,0.0,300.0,222.0,45.0
USC00244558,48.30408,-114.26426,903.2,2019-08-01,0.0,333.0,89.0,54.0
USC00417706,30.024,-100.212,726.0,2019-08-01,0.0,361.0,222.0,63.0
USC00481840,44.5021,-109.1112,1609.3,2019-08-01,0.0,300.0,189.0,63.0
USW00000166,30.5,-97.967,375.2,2019-08-01,0.0,356.0,233.0,36.0
USW00000177,29.85,-98.85,235.0,2019-08-01,0.0,372.0,222.0,58.0
USW00000225,30.533,-98.367,333.1,2019-08-01,0.0,372.0,228.0,36.0
USW00000230,30.395,-97.567,188.1,2019-08-01,0.0,350.0,228.0,45.0
USW00000263,29.724,-98.695,422.1,2019-08-01,0.0,339.0,200.0,40.0
USW00000349,32.331,-102.53,967.1,2019-08-01,0.0,372.0,228.0,67.0
USW00000351,30.879,-96.971,123.1,2019-08-01,0.0,361.0,239.0,45.0
USW00000362,31.417,-97.8,276.1,2019-08-01,0.0,361.0,239.0,36.0
USW00000428,34.0998,-93.066,55.8,2019-08-01,0.0,306.0,222.0,22.0
USW00000471,29.63421,-104.36149,896.1,2019-08-01,0.0,394.0,267.0,76.0
USW00003016,39.52791,-107.71965,1684.0,2019-08-01,3.0,289.0,167.0,63.0
USW00003017,39.84657,-104.65623,1647.2,2019-08-01,18.0,317.0,161.0,98.0
USW00003024,35.69502,-101.39551,926.8,2019-08-01,0.0,406.0,256.0,89.0
USW00003026,39.24148,-102.28192,1278.2,2019-08-01,51.0,311.0,206.0,72.0
USW00003028,37.28346,-102.613784,1337.0,2019-08-01,0.0,378.0,194.0,94.0
USW00003030,36.68185,-101.50515,948.7,2019-08-01,0.0,400.0,200.0,94.0
USW00003035,32.8525,-104.4675,1079.3,2019-08-01,0.0,372.0,222.0,72.0
USW00003049,30.38333,-103.68333,1375.6,2019-08-01,0.0,350.0,189.0,63.0
USW00003050,32.69333,-100.95056,740.7,2019-08-01,0.0,372.0,222.0,63.0
USW00003056,32.67528,-102.65444,1010.4,2019-08-01,0.0,367.0,206.0,58.0
USW00003058,31.3825,-103.51083,796.4,2019-08-01,0.0,394.0,217.0,76.0
USW00003071,32.03639,-102.10111,854.4,2019-08-01,0.0,378.0,239.0,81.0
USW00003102,34.05314,-117.57689,281.6,2019-08-01,0.0,361.0,178.0,94.0
USW00003103,35.14427,-111.66637,2133.3,2019-08-01,0.0,267.0,111.0,76.0
USW00003131,32.81453,-117.13747,127.5,2019-08-01,0.0,272.0,183.0,58.0
USW00003144,32.83464,-115.57656,-16.8,2019-08-01,0.0,433.0,278.0,58.0
USW00003145,32.65,-114.61667,64.9,2019-08-01,0.0,428.0,289.0,45.0
USW00003159,34.74121,-118.21255,712.6,2019-08-01,0.0,367.0,172.0,103.0
USW00003160,36.6206,-116.0278,984.5,2019-08-01,0.0,383.0,222.0,98.0
USW00003162,36.92112,-111.44874,1307.0,2019-08-01,0.0,356.0,217.0,54.0
USW00003164,32.6261,-116.4681,805.0,2019-08-01,0.0,372.0,139.0,89.0
USW00003166,33.87154,-117.98561,26.3,2019-08-01,0.0,317.0,189.0,54.0
USW00003167,33.92353,-118.33291,16.6,2019-08-01,0.0,244.0,189.0,72.0
USW00003170,39.6013,-116.0055,1809.3,2019-08-01,0.0,317.0,117.0,94.0
USW00003171,33.95282,-117.43523,257.7,2019-08-01,0.0,367.0,178.0,89.0
USW00003177,33.12993,-117.27651,95.3,2019-08-01,0.0,244.0,200.0,54.0
USW00003178,32.57583,-116.99391,158.9,2019-08-01,0.0,250.0,167.0,67.0
USW00003179,33.97563,-117.62487,193.9,2019-08-01,0.0,361.0,161.0,81.0
USW00003185,33.46588,-111.72121,423.3,2019-08-01,0.0,389.0,278.0,58.0
USW00003192,33.61234,-111.92317,436.1,2019-08-01,0.0,389.0,278.0,54.0
USW00003195,35.94581,-112.15536,1993.3,2019-08-01,0.0,289.0,106.0,54.0
USW00003757,38.14167,-76.42917,6.4,2019-08-01,0.0,322.0,228.0,45.0
USW00003804,39.33948,-81.44379,245.3,2019-08-01,3.0,311.0,183.0,63.0
